ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO ;FECHA ;DELITO ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;QUINDÍO;ARMENIA (CT);1/01/2018;;FEMENINO;MENORES;63001000;5
ARMA BLANCA / CORTOPUNZANTE;QUINDÍO;CALARCA;1/01/2018;;FEMENINO;MENORES;63130000;1
ARMA BLANCA / CORTOPUNZANTE;QUINDÍO;FILANDIA;1/01/2018;;FEMENINO;ADOLESCENTES;63272000;1
ARMA BLANCA / CORTOPUNZANTE;QUINDÍO;MONTENEGRO;1/01/2018;;FEMENINO;MENORES;63470000;1
ARMA BLANCA / CORTOPUNZANTE;SUCRE;SAMPUÉS;1/01/2018;;FEMENINO;ADOLESCENTES;70670000;1
ARMA BLANCA / CORTOPUNZANTE;TOLIMA;HONDA;1/01/2018;;FEMENINO;MENORES;73349000;1
ARMA DE FUEGO;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADULTOS;5001000;1
ARMA DE FUEGO;CHOCÓ;BAHÍA SOLANO;1/01/2018;;MASCULINO;ADULTOS;27075000;1
ARMA DE FUEGO;CÓRDOBA;TIERRALTA;1/01/2018;;FEMENINO;ADULTOS;23807000;1
CONTUNDENTES;ANTIOQUIA;APARTADÓ;1/01/2018;;FEMENINO;ADOLESCENTES;5045000;1
CONTUNDENTES;ANTIOQUIA;APARTADÓ;1/01/2018;;FEMENINO;ADULTOS;5045000;1
CONTUNDENTES;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADOLESCENTES;5001000;2
CONTUNDENTES;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;MENORES;5001000;1
CONTUNDENTES;ANTIOQUIA;PUERTO BERRÍO;1/01/2018;;FEMENINO;MENORES;5579000;1
CONTUNDENTES;ANTIOQUIA;SANTAFÉ DE ANTIOQUIA;1/01/2018;;FEMENINO;ADOLESCENTES;5042000;1
CONTUNDENTES;ARAUCA;ARAUCA (CT);1/01/2018;;FEMENINO;ADULTOS;81001000;1
CONTUNDENTES;ATLÁNTICO;BARRANQUILLA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;8001000;1
CONTUNDENTES;BOLÍVAR;CARTAGENA (CT);1/01/2018;;FEMENINO;ADULTOS;13001000;1
CONTUNDENTES;BOYACÁ;DUITAMA;1/01/2018;;MASCULINO;MENORES;15238000;1
CONTUNDENTES;BOYACÁ;FLORESTA;1/01/2018;;FEMENINO;MENORES;15276000;1
CONTUNDENTES;BOYACÁ;MONGUÍ;1/01/2018;;MASCULINO;MENORES;15466000;1
CONTUNDENTES;BOYACÁ;TUNJA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;15001000;1
CONTUNDENTES;BOYACÁ;TUNJA (CT);1/01/2018;;FEMENINO;MENORES;15001000;1
CONTUNDENTES;BOYACÁ;TUNJA (CT);1/01/2018;;MASCULINO;MENORES;15001000;1
CONTUNDENTES;CALDAS;MANIZALES (CT);1/01/2018;;FEMENINO;ADULTOS;17001000;1
CONTUNDENTES;CALDAS;MANIZALES (CT);1/01/2018;;MASCULINO;ADOLESCENTES;17001000;1
CONTUNDENTES;CAQUETÁ;EL DONCELLO;1/01/2018;;FEMENINO;ADULTOS;18247000;1
CONTUNDENTES;CAQUETÁ;EL DONCELLO;1/01/2018;;FEMENINO;MENORES;18247000;1
CONTUNDENTES;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;18001000;2
CONTUNDENTES;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;MENORES;18001000;2
CONTUNDENTES;CAQUETÁ;PUERTO RICO;1/01/2018;;FEMENINO;MENORES;18592000;4
CONTUNDENTES;CAQUETÁ;SAN VICENTE DEL CAGUÁN;1/01/2018;;FEMENINO;MENORES;18753000;1
CONTUNDENTES;CASANARE;VILLANUEVA;1/01/2018;;FEMENINO;ADULTOS;85440000;1
CONTUNDENTES;CAUCA;GUACHENÉ;1/01/2018;;FEMENINO;ADULTOS;19300000;1
CONTUNDENTES;CAUCA;POPAYÁN (CT);1/01/2018;;FEMENINO;ADOLESCENTES;19001000;1
CONTUNDENTES;CAUCA;POPAYÁN (CT);1/01/2018;;FEMENINO;ADULTOS;19001000;1
CONTUNDENTES;CAUCA;POPAYÁN (CT);1/01/2018;;MASCULINO;ADOLESCENTES;19001000;1
CONTUNDENTES;CAUCA;SANTANDER DE QUILICHAO;1/01/2018;;FEMENINO;ADULTOS;19698000;2
CONTUNDENTES;CÓRDOBA;CERETÉ;1/01/2018;;FEMENINO;ADOLESCENTES;23162000;1
CONTUNDENTES;CÓRDOBA;MONTERÍA (CT);1/01/2018;;FEMENINO;ADULTOS;23001000;1
CONTUNDENTES;CÓRDOBA;PUERTO LIBERTADOR;1/01/2018;;FEMENINO;MENORES;23580000;1
CONTUNDENTES;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;ADULTOS;11001000;2
CONTUNDENTES;CUNDINAMARCA;SOACHA;1/01/2018;;FEMENINO;ADULTOS;25754000;1
CONTUNDENTES;GUAJIRA;MAICAO;1/01/2018;;MASCULINO;MENORES;44430000;1
CONTUNDENTES;HUILA;PITALITO;1/01/2018;;FEMENINO;ADOLESCENTES;41551000;1
CONTUNDENTES;MAGDALENA;FUNDACIÓN;1/01/2018;;FEMENINO;MENORES;47288000;1
CONTUNDENTES;MAGDALENA;SANTA MARTA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;47001000;1
CONTUNDENTES;META;PUERTO RICO;1/01/2018;;FEMENINO;ADULTOS;50590000;1
CONTUNDENTES;NARIÑO;PASTO (CT);1/01/2018;;FEMENINO;ADOLESCENTES;52001000;1
CONTUNDENTES;NARIÑO;PASTO (CT);1/01/2018;;FEMENINO;ADULTOS;52001000;1
CONTUNDENTES;NARIÑO;PASTO (CT);1/01/2018;;FEMENINO;MENORES;52001000;2
CONTUNDENTES;NARIÑO;PASTO (CT);1/01/2018;;MASCULINO;ADULTOS;52001000;2
CONTUNDENTES;NARIÑO;SAN PEDRO DE CARTAGO;1/01/2018;;MASCULINO;ADOLESCENTES;52694000;1
CONTUNDENTES;NORTE DE SANTANDER;CACHIRÁ;1/01/2018;;FEMENINO;ADULTOS;54128000;1
CONTUNDENTES;NORTE DE SANTANDER;SILOS;1/01/2018;;FEMENINO;ADULTOS;54743000;1
CONTUNDENTES;PUTUMAYO;ORITO;1/01/2018;;FEMENINO;MENORES;86320000;1
CONTUNDENTES;QUINDÍO;ARMENIA (CT);1/01/2018;;FEMENINO;MENORES;63001000;2
CONTUNDENTES;QUINDÍO;MONTENEGRO;1/01/2018;;MASCULINO;ADOLESCENTES;63470000;1
CONTUNDENTES;SANTANDER;BARBOSA;1/01/2018;;FEMENINO;ADOLESCENTES;68077000;1
CONTUNDENTES;SANTANDER;BUCARAMANGA (CT);1/01/2018;;FEMENINO;ADULTOS;68001000;1
CONTUNDENTES;SANTANDER;CHIPATÁ;1/01/2018;;FEMENINO;ADOLESCENTES;68179000;1
CONTUNDENTES;SANTANDER;CIMITARRA;1/01/2018;;FEMENINO;ADOLESCENTES;68190000;1
CONTUNDENTES;SANTANDER;MOLAGAVITA;1/01/2018;;FEMENINO;ADULTOS;68468000;1
CONTUNDENTES;SANTANDER;SOCORRO;1/01/2018;;FEMENINO;ADOLESCENTES;68755000;1
CONTUNDENTES;SUCRE;SINCELEJO (CT);1/01/2018;;FEMENINO;MENORES;70001000;1
CONTUNDENTES;TOLIMA;ORTEGA;1/01/2018;;MASCULINO;MENORES;73504000;1
CONTUNDENTES;VALLE;BUENAVENTURA;1/01/2018;;FEMENINO;ADULTOS;76109000;1
CONTUNDENTES;VALLE;CALI (CT);1/01/2018;;FEMENINO;MENORES;76001000;1
CONTUNDENTES;VALLE;EL CERRITO;1/01/2018;;FEMENINO;ADULTOS;76248000;1
CONTUNDENTES;VALLE;GINEBRA;1/01/2018;;FEMENINO;ADOLESCENTES;76306000;1
CONTUNDENTES;VALLE;SEVILLA;1/01/2018;;FEMENINO;ADULTOS;76736000;2
CONTUNDENTES;VALLE;YOTOCO;1/01/2018;;FEMENINO;MENORES;76890000;1
ESCOPOLAMINA;ATLÁNTICO;BARANOA;1/01/2018;;FEMENINO;ADULTOS;8078000;1
ESCOPOLAMINA;ATLÁNTICO;LURUACO;1/01/2018;;FEMENINO;ADULTOS;8421000;1
ESCOPOLAMINA;BOLÍVAR;CARTAGENA (CT);1/01/2018;;FEMENINO;ADULTOS;13001000;1
ESCOPOLAMINA;CESAR;BOSCONIA;1/01/2018;;FEMENINO;ADOLESCENTES;20060000;1
ESCOPOLAMINA;META;ACACÍAS;1/01/2018;;FEMENINO;ADULTOS;50006000;1
ESCOPOLAMINA;NARIÑO;SANDONÁ;1/01/2018;;MASCULINO;ADOLESCENTES;52683000;1
ESCOPOLAMINA;NORTE DE SANTANDER;ABREGO;1/01/2018;;FEMENINO;ADULTOS;54003000;1
ESCOPOLAMINA;QUINDÍO;ARMENIA (CT);1/01/2018;;FEMENINO;ADULTOS;63001000;1
ESCOPOLAMINA;SANTANDER;BUCARAMANGA (CT);1/01/2018;;FEMENINO;ADULTOS;68001000;3
NO REPORTADO;AMAZONAS;LETICIA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;91001000;1
NO REPORTADO;ANTIOQUIA;BELLO;1/01/2018;;FEMENINO;MENORES;5088000;2
NO REPORTADO;ANTIOQUIA;BRICEÑO;1/01/2018;;FEMENINO;ADOLESCENTES;5107000;2
NO REPORTADO;ANTIOQUIA;CAUCASIA;1/01/2018;;FEMENINO;MENORES;5154000;1
NO REPORTADO;ANTIOQUIA;COPACABANA;1/01/2018;;FEMENINO;MENORES;5212000;1
NO REPORTADO;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADOLESCENTES;5001000;10
NO REPORTADO;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADULTOS;5001000;1
NO REPORTADO;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;MENORES;5001000;18
NO REPORTADO;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;MASCULINO;ADOLESCENTES;5001000;1
NO REPORTADO;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;MASCULINO;MENORES;5001000;4
NO REPORTADO;ANTIOQUIA;PUERTO BERRÍO;1/01/2018;;FEMENINO;MENORES;5579000;1
NO REPORTADO;ANTIOQUIA;SALGAR;1/01/2018;;FEMENINO;ADULTOS;5642000;1
NO REPORTADO;ANTIOQUIA;SALGAR;1/01/2018;;MASCULINO;ADOLESCENTES;5642000;1
NO REPORTADO;ANTIOQUIA;VALDIVIA;1/01/2018;;FEMENINO;ADULTOS;5854000;1
NO REPORTADO;ATLÁNTICO;BARRANQUILLA (CT);1/01/2018;;FEMENINO;MENORES;8001000;2
NO REPORTADO;BOLÍVAR;CARTAGENA (CT);1/01/2018;;FEMENINO;ADULTOS;13001000;1
NO REPORTADO;BOLÍVAR;CARTAGENA (CT);1/01/2018;;MASCULINO;ADULTOS;13001000;1
NO REPORTADO;BOLÍVAR;MAGANGUÉ;1/01/2018;;FEMENINO;ADOLESCENTES;13430000;3
NO REPORTADO;BOLÍVAR;MAGANGUÉ;1/01/2018;;MASCULINO;MENORES;13430000;1
NO REPORTADO;BOLÍVAR;MONTECRISTO;1/01/2018;;FEMENINO;ADOLESCENTES;13458000;1
NO REPORTADO;BOLÍVAR;SANTA ROSA DEL SUR;1/01/2018;;FEMENINO;MENORES;13688000;1
NO REPORTADO;CALDAS;MARMATO;1/01/2018;;FEMENINO;ADULTOS;17442000;1
NO REPORTADO;CALDAS;VILLAMARÍA;1/01/2018;;FEMENINO;ADOLESCENTES;17873000;1
NO REPORTADO;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;18001000;1
NO REPORTADO;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;ADULTOS;18001000;2
NO REPORTADO;CAQUETÁ;LA MONTAÑITA;1/01/2018;;FEMENINO;MENORES;18410000;1
NO REPORTADO;CAQUETÁ;MILÁN;1/01/2018;;FEMENINO;ADOLESCENTES;18460000;1
NO REPORTADO;CAQUETÁ;PUERTO RICO;1/01/2018;;FEMENINO;MENORES;18592000;1
NO REPORTADO;CAUCA;ARGELIA;1/01/2018;;FEMENINO;ADOLESCENTES;19050000;1
NO REPORTADO;CAUCA;INZÁ;1/01/2018;;FEMENINO;ADULTOS;19355000;1
NO REPORTADO;CAUCA;MERCADERES;1/01/2018;;FEMENINO;ADULTOS;19450000;1
NO REPORTADO;CAUCA;PAEZ;1/01/2018;;FEMENINO;ADOLESCENTES;19517000;1
NO REPORTADO;CAUCA;POPAYÁN (CT);1/01/2018;;FEMENINO;ADOLESCENTES;19001000;1
NO REPORTADO;CESAR;LA JAGUA DE IBIRICO;1/01/2018;;FEMENINO;ADOLESCENTES;20400000;1
NO REPORTADO;CESAR;LA JAGUA DE IBIRICO;1/01/2018;;FEMENINO;MENORES;20400000;1
NO REPORTADO;CESAR;LA JAGUA DE IBIRICO;1/01/2018;;MASCULINO;MENORES;20400000;1
NO REPORTADO;CHOCÓ;NÓVITA;1/01/2018;;FEMENINO;MENORES;27491000;1
NO REPORTADO;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;ADOLESCENTES;11001000;5
NO REPORTADO;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;ADULTOS;11001000;18
NO REPORTADO;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;MENORES;11001000;7
NO REPORTADO;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;MASCULINO;MENORES;11001000;2
NO REPORTADO;CUNDINAMARCA;FUSAGASUGÁ;1/01/2018;;FEMENINO;MENORES;25290000;1
NO REPORTADO;CUNDINAMARCA;FUSAGASUGÁ;1/01/2018;;MASCULINO;MENORES;25290000;1
NO REPORTADO;CUNDINAMARCA;MADRID;1/01/2018;;FEMENINO;MENORES;25430000;1
NO REPORTADO;CUNDINAMARCA;PACHO;1/01/2018;;MASCULINO;MENORES;25513000;1
NO REPORTADO;CUNDINAMARCA;SAN BERNARDO;1/01/2018;;FEMENINO;MENORES;25649000;1
NO REPORTADO;CUNDINAMARCA;TOCANCIPÁ;1/01/2018;;FEMENINO;MENORES;25817000;1
NO REPORTADO;CUNDINAMARCA;TOPAIPÍ;1/01/2018;;FEMENINO;MENORES;25823000;1
NO REPORTADO;CUNDINAMARCA;VILLAPINZÓN;1/01/2018;;FEMENINO;ADULTOS;25873000;1
NO REPORTADO;NARIÑO;BARBACOAS;1/01/2018;;FEMENINO;ADULTOS;52079000;1
NO REPORTADO;NARIÑO;EL ROSARIO;1/01/2018;;FEMENINO;ADULTOS;52256000;1
NO REPORTADO;NARIÑO;LEIVA;1/01/2018;;FEMENINO;MENORES;52405000;1
NO REPORTADO;NARIÑO;PASTO (CT);1/01/2018;;FEMENINO;ADULTOS;52001000;5
NO REPORTADO;NARIÑO;SAN ANDRES DE TUMACO;1/01/2018;;FEMENINO;MENORES;52835000;1
NO REPORTADO;NARIÑO;TAMINANGO;1/01/2018;;FEMENINO;MENORES;52786000;1
NO REPORTADO;PUTUMAYO;PUERTO ASÍS;1/01/2018;;FEMENINO;MENORES;86568000;2
NO REPORTADO;QUINDÍO;MONTENEGRO;1/01/2018;;FEMENINO;ADOLESCENTES;63470000;1
NO REPORTADO;QUINDÍO;MONTENEGRO;1/01/2018;;MASCULINO;ADULTOS;63470000;1
NO REPORTADO;SANTANDER;BARRANCABERMEJA;1/01/2018;;FEMENINO;ADOLESCENTES;68081000;1
NO REPORTADO;TOLIMA;CHAPARRAL;1/01/2018;;FEMENINO;ADOLESCENTES;73168000;2
NO REPORTADO;TOLIMA;CHAPARRAL;1/01/2018;;FEMENINO;MENORES;73168000;1
NO REPORTADO;TOLIMA;ESPINAL;1/01/2018;;FEMENINO;ADOLESCENTES;73268000;1
NO REPORTADO;TOLIMA;IBAGUÉ (CT);1/01/2018;;FEMENINO;ADULTOS;73001000;1
NO REPORTADO;TOLIMA;IBAGUÉ (CT);1/01/2018;;FEMENINO;MENORES;73001000;3
NO REPORTADO;TOLIMA;IBAGUÉ (CT);1/01/2018;;MASCULINO;ADULTOS;73001000;1
NO REPORTADO;TOLIMA;PLANADAS;1/01/2018;;FEMENINO;MENORES;73555000;1
NO REPORTADO;TOLIMA;PURIFICACIÓN;1/01/2018;;FEMENINO;MENORES;73585000;1
NO REPORTADO;TOLIMA;SALDAÑA;1/01/2018;;FEMENINO;ADOLESCENTES;73671000;1
NO REPORTADO;VAUPÉS;MITÚ (CT);1/01/2018;;MASCULINO;ADULTOS;97001000;1
NO REPORTADO;VAUPÉS;TARAIRA;1/01/2018;;FEMENINO;ADULTOS;97666000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;AMAGÁ;1/01/2018;;FEMENINO;ADOLESCENTES;5030000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;AMALFI;1/01/2018;;FEMENINO;ADULTOS;5031000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;BELLO;1/01/2018;;FEMENINO;ADOLESCENTES;5088000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;BELLO;1/01/2018;;FEMENINO;ADULTOS;5088000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;CALDAS;1/01/2018;;FEMENINO;MENORES;5129000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;ENVIGADO;1/01/2018;;FEMENINO;ADULTOS;5266000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;GUARNE;1/01/2018;;FEMENINO;ADULTOS;5318000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADOLESCENTES;5001000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;ADULTOS;5001000;4
SIN EMPLEO DE ARMAS;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;FEMENINO;MENORES;5001000;5
SIN EMPLEO DE ARMAS;ANTIOQUIA;MEDELLÍN (CT);1/01/2018;;MASCULINO;MENORES;5001000;7
SIN EMPLEO DE ARMAS;ANTIOQUIA;SALGAR;1/01/2018;;FEMENINO;MENORES;5642000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;SANTAFÉ DE ANTIOQUIA;1/01/2018;;MASCULINO;MENORES;5042000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;TÁMESIS;1/01/2018;;FEMENINO;MENORES;5789000;1
SIN EMPLEO DE ARMAS;ARAUCA;ARAUCA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;81001000;1
SIN EMPLEO DE ARMAS;ATLÁNTICO;BARRANQUILLA (CT);1/01/2018;;FEMENINO;ADULTOS;8001000;1
SIN EMPLEO DE ARMAS;ATLÁNTICO;BARRANQUILLA (CT);1/01/2018;;FEMENINO;MENORES;8001000;1
SIN EMPLEO DE ARMAS;ATLÁNTICO;BARRANQUILLA (CT);1/01/2018;;MASCULINO;MENORES;8001000;1
SIN EMPLEO DE ARMAS;ATLÁNTICO;JUAN DE ACOSTA;1/01/2018;;FEMENINO;ADULTOS;8372000;1
SIN EMPLEO DE ARMAS;ATLÁNTICO;PUERTO COLOMBIA;1/01/2018;;MASCULINO;MENORES;8573000;1
SIN EMPLEO DE ARMAS;ATLÁNTICO;SOLEDAD;1/01/2018;;MASCULINO;ADULTOS;8758000;1
SIN EMPLEO DE ARMAS;BOLÍVAR;CANTAGALLO;1/01/2018;;FEMENINO;MENORES;13160000;1
SIN EMPLEO DE ARMAS;BOLÍVAR;MAGANGUÉ;1/01/2018;;FEMENINO;ADULTOS;13430000;1
SIN EMPLEO DE ARMAS;BOLÍVAR;MARÍA LA BAJA;1/01/2018;;FEMENINO;ADOLESCENTES;13442000;1
SIN EMPLEO DE ARMAS;BOYACÁ;CHINAVITA;1/01/2018;;FEMENINO;MENORES;15172000;1
SIN EMPLEO DE ARMAS;BOYACÁ;PAIPA;1/01/2018;;FEMENINO;MENORES;15516000;1
SIN EMPLEO DE ARMAS;BOYACÁ;TURMEQUÉ;1/01/2018;;FEMENINO;MENORES;15835000;1
SIN EMPLEO DE ARMAS;CALDAS;ANSERMA;1/01/2018;;FEMENINO;MENORES;17042000;1
SIN EMPLEO DE ARMAS;CALDAS;MANIZALES (CT);1/01/2018;;FEMENINO;ADOLESCENTES;17001000;1
SIN EMPLEO DE ARMAS;CALDAS;MANIZALES (CT);1/01/2018;;FEMENINO;MENORES;17001000;3
SIN EMPLEO DE ARMAS;CAQUETÁ;FLORENCIA (CT);1/01/2018;;FEMENINO;ADOLESCENTES;18001000;1
SIN EMPLEO DE ARMAS;CASANARE;YOPAL (CT);1/01/2018;;FEMENINO;MENORES;85001000;2
SIN EMPLEO DE ARMAS;CAUCA;GUACHENÉ;1/01/2018;;FEMENINO;ADULTOS;19300000;1
SIN EMPLEO DE ARMAS;CAUCA;POPAYÁN (CT);1/01/2018;;FEMENINO;ADULTOS;19001000;2
SIN EMPLEO DE ARMAS;CESAR;VALLEDUPAR (CT);1/01/2018;;FEMENINO;ADULTOS;20001000;1
SIN EMPLEO DE ARMAS;CESAR;VALLEDUPAR (CT);1/01/2018;;FEMENINO;MENORES;20001000;1
SIN EMPLEO DE ARMAS;CHOCÓ;QUIBDÓ (CT);1/01/2018;;FEMENINO;MENORES;27001000;1
SIN EMPLEO DE ARMAS;CÓRDOBA;MONTELÍBANO;1/01/2018;;FEMENINO;MENORES;23466000;1
SIN EMPLEO DE ARMAS;CÓRDOBA;SAN JOSÉ DE URÉ;1/01/2018;;FEMENINO;ADOLESCENTES;23682000;1
SIN EMPLEO DE ARMAS;CÓRDOBA;TIERRALTA;1/01/2018;;FEMENINO;MENORES;23807000;1
SIN EMPLEO DE ARMAS;CÓRDOBA;TUCHÍN;1/01/2018;;FEMENINO;ADOLESCENTES;23815000;2
SIN EMPLEO DE ARMAS;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;ADOLESCENTES;11001000;1
SIN EMPLEO DE ARMAS;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;ADULTOS;11001000;2
SIN EMPLEO DE ARMAS;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;FEMENINO;MENORES;11001000;4
SIN EMPLEO DE ARMAS;CUNDINAMARCA;BOGOTÁ D.C. (CT);1/01/2018;;MASCULINO;MENORES;11001000;1
SIN EMPLEO DE ARMAS;CUNDINAMARCA;FACATATIVÁ;1/01/2018;;FEMENINO;MENORES;25269000;1
SIN EMPLEO DE ARMAS;CUNDINAMARCA;GUTIÉRREZ;1/01/2018;;FEMENINO;ADOLESCENTES;25339000;1
SIN EMPLEO DE ARMAS;CUNDINAMARCA;TENJO;1/01/2018;;FEMENINO;ADULTOS;25799000;1
SIN EMPLEO DE ARMAS;HUILA;ALGECIRAS;1/01/2018;;FEMENINO;MENORES;41020000;1
SIN EMPLEO DE ARMAS;HUILA;ALTAMIRA;1/01/2018;;FEMENINO;MENORES;41026000;1
SIN EMPLEO DE ARMAS;HUILA;ISNOS;1/01/2018;;FEMENINO;MENORES;41359000;2
SIN EMPLEO DE ARMAS;HUILA;LA ARGENTINA;1/01/2018;;FEMENINO;ADOLESCENTES;41378000;1
SIN EMPLEO DE ARMAS;HUILA;NEIVA (CT);1/01/2018;;MASCULINO;MENORES;41001000;1
SIN EMPLEO DE ARMAS;HUILA;SAN AGUSTÍN;1/01/2018;;FEMENINO;MENORES;41668000;2
SIN EMPLEO DE ARMAS;HUILA;TIMANÁ;1/01/2018;;FEMENINO;ADOLESCENTES;41807000;1
SIN EMPLEO DE ARMAS;MAGDALENA;SANTA MARTA (CT);1/01/2018;;FEMENINO;MENORES;47001000;1
SIN EMPLEO DE ARMAS;META;ACACÍAS;1/01/2018;;FEMENINO;ADOLESCENTES;50006000;1
SIN EMPLEO DE ARMAS;META;EL CASTILLO;1/01/2018;;FEMENINO;MENORES;50251000;1
SIN EMPLEO DE ARMAS;META;LEJANÍAS;1/01/2018;;FEMENINO;ADOLESCENTES;50400000;1
SIN EMPLEO DE ARMAS;META;SAN JUAN DE ARAMA;1/01/2018;;FEMENINO;MENORES;50683000;1
SIN EMPLEO DE ARMAS;NARIÑO;BUESACO;1/01/2018;;MASCULINO;MENORES;52110000;1
SIN EMPLEO DE ARMAS;NARIÑO;CHACHAGÜÍ;1/01/2018;;FEMENINO;ADOLESCENTES;52240000;1
SIN EMPLEO DE ARMAS;NARIÑO;IPIALES;1/01/2018;;FEMENINO;MENORES;52356000;1
SIN EMPLEO DE ARMAS;NARIÑO;PASTO (CT);1/01/2018;;FEMENINO;MENORES;52001000;1
SIN EMPLEO DE ARMAS;NARIÑO;PASTO (CT);1/01/2018;;MASCULINO;MENORES;52001000;1
SIN EMPLEO DE ARMAS;NARIÑO;POLICARPA;1/01/2018;;FEMENINO;ADULTOS;52540000;1
